SNP1	SNP2	Zscore	ZP	glm_score
1	M0P0	M0P1	19.9898753303497	6.74641386299439e-89	2.12722227738476e-79
2	N2	N90	-3.71643260973706	0.000202055501948739	0.000219203266247733
3	N56	N94	-3.62007606808217	0.00029451641969566	0.000260462822968537
4	N29	N89	-3.24513854789456	0.00117393492042321	0.00119020370822062
5	N24	N96	3.23703399433653	0.00120779023198136	0.00132320375823874
6	N51	N70	3.21265803543083	0.00131512773117375	0.00277011922600562
7	N11	N91	-3.10435488537732	0.00190694447047617	0.0020281544549652
8	N46	N68	3.09711510893325	0.00195413977024946	0.00172276836453899
9	N47	M0P0	-3.06602324228772	0.00216926451580174	0.00234984567532432
10	N20	N74	-3.055702005488	0.00224534293722724	0.00220352603743373
11	N18	N71	3.00635247205554	0.0026440231852229	0.00292947469077325
12	N24	N67	2.99383532055398	0.0027549459654966	0.00330998245773966
13	N3	N67	-2.98651204532951	0.00282179721585688	0.00291198990540969
14	N9	N80	-2.93080030710766	0.0033809003644975	0.00329979004524776
15	N35	N65	-2.89180747846351	0.00383032582427739	0.00300413711243491
16	N25	N75	2.88736321725969	0.00388485478121161	0.00391381332354227
17	N42	N86	-2.86701749699221	0.0041436010338833	0.00410863786132514
18	N17	N42	2.85402298532313	0.00431694078085129	0.00447997139738868
19	N69	N78	2.85307511369996	0.00432983858273522	0.00385624317870105
20	N55	N83	-2.85029164223056	0.00436791579741502	0.00431133725665197
21	N43	M0P0	-2.80720070667212	0.00499740942588939	0.00466008516494094
22	N62	N73	-2.80078018034482	0.00509792318316422	0.00556757620600948
23	N32	N94	2.8002098867543	0.00510693894015197	0.0050756890967852
24	N19	N94	-2.79352529201254	0.00521369517526306	0.00547008992797927
25	N62	N84	2.77347732385582	0.00554607054776396	0.00563326262570666
26	N19	N63	2.76520422619612	0.00568871679737612	0.0117763837504586
27	N69	N73	2.75411504867224	0.0058851076462988	0.00414672817620715
28	N40	N65	2.75288227054311	0.00590731352750379	0.00728264875891054
29	N77	N93	-2.71876020247959	0.00655270940629213	0.00671663697715526
30	N58	N81	-2.70930563253456	0.00674241977130954	0.00954669097507319
31	N16	N86	2.70463002055201	0.00683805032255459	0.00676449207866913
32	N71	N87	-2.69749853868857	0.00698625913791918	0.00638976331421345
33	N33	N97	-2.6958921928796	0.0070200382818393	0.00830672595720953
34	N49	N57	-2.64052840575932	0.00827768531666307	0.0158702863498819
35	N46	N81	-2.6351252709385	0.0084106236374005	0.00726453406285048
36	N49	N51	-2.61593577260287	0.00889832938805279	0.0158991063500363
37	N34	N35	-2.61258865482571	0.00898593830630327	0.00804517357536623
38	N10	N29	2.60097936004188	0.00929580466124981	0.00952289472421203
39	N0	N29	2.59378207448863	0.00949266351279987	0.0122687301992564
40	N17	N53	-2.5753794124146	0.0100130181614894	0.0111127454688592
41	N34	N97	-2.56666648720291	0.0102681319684266	0.00854962690514392
42	N11	N33	2.55897388837506	0.0104981626442519	0.0104363458296011
43	N43	N93	2.553765592911	0.0106564971140404	0.012407284127787
44	N19	N45	-2.54772475758788	0.0108427982034038	0.0112679830577656
45	N26	N28	-2.54409601056388	0.0109560965424635	0.0109539212812794
46	N11	N71	2.53916199744658	0.011111835793991	0.00849177672566505
47	N46	N92	-2.53889978898152	0.0111201670112927	0.0126104045921919
48	N26	N77	2.5213582825677	0.0116902754445543	0.0124308300121557
49	N47	M0P1	-2.51743268433856	0.0118213556398224	0.0166176076079622
50	N40	N93	-2.51737414750041	0.0118233200753425	0.0114203210538816
51	N17	N91	2.51150114999219	0.0120218894201126	0.0114779973007871
52	N65	N84	2.50996484864254	0.0120743180155879	0.0127573348723026
53	N1	N78	-2.50935628474441	0.0120951421488116	0.0150988238622229
54	N12	N21	2.50932590749362	0.0120961824458417	0.0147175587656405
55	N66	N67	2.5065067838725	0.0121930717898113	0.0111894597832386
56	N45	N56	-2.50062675455685	0.0123973759733089	0.0124091110019708
57	N39	N44	-2.50050361878579	0.0124016865991514	0.0123532056525042
58	N67	N71	2.49711902329027	0.012520692350241	0.00937803604841035
59	N30	N50	-2.48784561519609	0.0128519510058783	0.0139746939652649
60	N39	N46	2.48500261611797	0.0129550482580462	0.0143633024763062
61	N4	N64	2.47694274207191	0.0132513158557484	0.012904648906657
62	N51	N52	-2.47531340032082	0.0133119304371313	0.0124697575728032
63	N49	N86	-2.47010574618059	0.013507311707443	0.0102253759579226
64	N21	N94	-2.4648817004141	0.01370584945142	0.0149057617258118
65	N5	N62	-2.4519592392322	0.0142080755386498	0.01457780950295
66	N39	N80	-2.44695489545107	0.0144068867072408	0.0140674218235074
67	N56	N78	2.42611125084088	0.0152615910979026	0.0147808578655752
68	N50	N57	-2.42531966699204	0.0152949123982109	0.0142110913134711
69	N29	N75	-2.42204381548509	0.0154334895678232	0.0138185154853069
70	N4	N89	-2.42126047597814	0.0154667901677923	0.0163246741568135
71	N31	N68	2.42034941082956	0.0155056000510142	0.0163396832168264
72	N14	N33	2.41253836962095	0.0158418699012799	0.0154605092883241
73	N78	M0P0	-2.41090224300521	0.015913113051287	0.0132449975770805
74	N1	N32	2.41071946951559	0.0159210891689626	0.0171016820230112
75	N5	N18	-2.40723091703124	0.0160740026855141	0.0180851584140593
76	N4	N26	2.40629822166519	0.0161151035687969	0.0169651762693098
77	N43	N52	-2.39934797763198	0.0164242981779694	0.0189532592579603
78	N18	N36	2.39631497762675	0.0165608521696286	0.0185206699253953
79	N48	N53	2.39497934840825	0.0166213014165611	0.0170633712235594
80	N91	N95	2.39408776052848	0.0166617615585068	0.0168560987180063
81	N6	N60	2.39106336213884	0.0167996533159224	0.0212993075234881
82	N38	N80	-2.38602026730206	0.0170318124038675	0.015773942419174
83	N29	N46	-2.37372403857687	0.0176097062431588	0.0209838416510482
84	N67	N97	-2.3734195008765	0.017624234305057	0.016977949940914
85	N5	N26	2.37113991551017	0.0177333166429893	0.0201274993093295
86	N1	N53	-2.36735994078986	0.0179154995896611	0.0201219834099182
87	N42	N50	-2.36647688752059	0.0179582955166238	0.0182821697523237
88	N75	N77	-2.36057770363413	0.0182464953066545	0.0137308369026362
89	N30	N59	2.3588718766251	0.0183305833159495	0.0214669816758918
90	N43	N69	-2.35811960900691	0.0183677736840748	0.0201090794622507
91	N2	N41	2.35671868939732	0.0184372079618383	0.0213088922006508
92	N4	N62	-2.35206294995967	0.0186696150931016	0.0189612221659667
93	N75	M0P0	-2.35061445100568	0.0187424427143617	0.0184290751440446
