SNP1	SNP2	Zscore	ZP	glm_score
1	N7	N15	-3.12440644252408	0.00178164169518222	0.00231387073606326
2	N7	N16	2.85193638379466	0.00434537960789363	0.00331396893504848
3	N14	N15	2.77142311511239	0.00558118510309564	0.00592998676859631
4	N2	N14	-2.3804062313258	0.0172935617265777	0.0193558500699291
5	N4	M0P0	-2.32664975514468	0.0199839140930985	0.0217661227740064
6	N19	N21	-2.32611587631889	0.0200123698101805	0.022020730351236
7	N6	N20	2.31047015437018	0.020862139034811	0.0207294576848026
8	N5	N13	-2.30447086052396	0.0211962262593028	0.0212147536114106
9	N1	N7	-2.19956455173587	0.0278378045288458	0.029485074602058
10	N22	M0P1	2.19160606860526	0.0284079633765343	0.0187259020271867
11	N7	N11	2.16273088849625	0.03056188390777	0.0175420201706361
12	N3	N7	-2.15985773579362	0.0307836844604566	0.0312444015867791
13	N1	N10	-2.02365731677496	0.0430054231991756	0.041917852581073
14	N10	N22	-2.01995903510151	0.0433876368834131	0.032655582819774
15	N1	N2	2.01805803295818	0.0435852177299836	0.0473576314632558
16	N3	N8	1.96575803620939	0.0493265673028596	0.0305509250184196
17	N3	M0P0	-1.92308806829149	0.0544689905544963	0.0581389846860519
18	N16	N19	-1.91084681450558	0.0560242695799986	0.0824406556627303
19	N14	N20	-1.89490594953478	0.0581048628325493	0.061318689057448
20	N8	N12	-1.89443613467438	0.0581671439441556	0.0417468043565566
21	N5	N7	1.80231715844514	0.0714955204622671	0.0784769749579139
22	N5	N21	-1.79416273409957	0.0727871983071458	0.0629219499750212
23	N0	N10	-1.79374589853171	0.0728537357234921	0.075601027561097
24	N3	N5	-1.78999530276998	0.0734546665283497	0.0779041700273613
25	N3	N20	-1.7592722953347	0.0785312699179258	0.0733252782159664
26	N15	N20	1.74704212971234	0.0806300304683501	0.0836813280558017
27	N10	N20	1.73081151312718	0.0834853877786319	0.082143166058371
28	N7	N18	-1.71943973664128	0.0855343319511775	0.0852781171292706
29	N12	N17	-1.70360009202195	0.0884558242811563	0.0917882193595724
30	N4	N19	-1.68733033464421	0.0915398512076022	0.0958238419004855
31	N9	N10	-1.67810207803131	0.0933271731513254	0.0923135995294284
32	N5	N15	1.67528188701429	0.0938789375513686	0.0982117858905775
33	N4	N16	1.67156740626866	0.0946096564435514	0.117292746233251
34	N13	N22	-1.67105078473615	0.0947116471995732	0.087657125081529
35	N12	N14	1.66286991747538	0.0963384772526184	0.0923512460944581
36	N14	M0P0	-1.64187994151285	0.10061488756574	0.104434397109431
37	N0	N3	-1.58978570063101	0.111883118149813	0.100020506995808
38	N0	M0P1	1.58482381293277	0.113006370390026	0.0996059705407777
39	N0	N16	1.57530177309597	0.115186804916	0.163807760971246
40	N7	M0P1	-1.57104531281693	0.116172123905589	0.115172839508827
41	N6	N15	1.5635344086254	0.117926948970459	0.0984870636419002
42	N2	N21	1.53564045782262	0.12462658575262	0.138837356808826
43	N6	N12	1.53485414896858	0.124819658336472	0.11185167228954
44	N4	N8	1.52078031530074	0.128314975838697	0.0712847034710627
45	N19	N22	-1.5031782445551	0.132793086049703	0.120351004907287
46	N17	N20	1.50171976653945	0.133169496799797	0.12690346051697
47	N0	N14	1.47408753964641	0.140458022976263	0.136163472604233
48	N15	N21	1.46886429534456	0.141869600664477	0.152178514876786
49	N8	N14	1.46035012140835	0.144193873579036	0.146173542167707
50	N1	N12	1.43392189465399	0.151594553006388	0.145016451453381
51	N3	N21	-1.41404129790204	0.157349777194787	0.160548680015771
52	N1	N3	-1.41281292630163	0.157710736519696	0.167293417605699
53	N11	N14	1.4070628553948	0.159408751256356	0.155437914542219
54	N20	N22	1.40321054082794	0.16055406525444	0.170694394742234
55	N3	N18	-1.39209074382592	0.16389492082782	0.170891279822664
56	N13	N19	1.38514654972315	0.166007660586244	0.173202081814649
