SNP1 SNP2 Zscore ZP 
X0 X50 6.00774394869833 1.88122625691834e-09
X0 X87 6.16937252306543 6.85615255058981e-10
X50 X87 -6.13062651269335 8.75336779345267e-10
X0 X202 6.27471057831817 3.50285257685599e-10
X50 X202 -5.95142693270134 2.65814687672363e-09
X87 X202 -6.1793849931117 6.43517924131707e-10
X0 X257 6.00913317098384 1.86517873520961e-09
X50 X257 -6.10985887122486 9.97192815724763e-10
X87 X257 -6.03258024762061 1.6136216652239e-09
X202 X257 -5.7570752260627 8.55837785611603e-09
X24 X325 -4.76175218029555 1.91919275170034e-06
X456 X467 4.51481584847711 6.33718086273613e-06
X0 X482 -6.00391553768394 1.92614927374459e-09
X50 X482 6.11711027891056 9.52874281608648e-10
X87 X482 6.14456573852217 8.01825775364212e-10
X202 X482 6.00622570991537 1.89891795424172e-09
X257 X482 5.9650096634911 2.44619564209412e-09
X0 X500 -6.10570739952953 1.02346356269436e-09
X50 X500 6.4314847120108 1.26363493878997e-10
X87 X500 6.2176366673709 5.04698525009061e-10
X202 X500 5.95638666733201 2.5787579466711e-09
X257 X500 6.02543971859041 1.6865046903118e-09
X482 X500 -6.16378316969923 7.10271867491226e-10
X0 X513 5.96601914438101 2.43111772650561e-09
X50 X513 -5.94954313437679 2.68891975199046e-09
X87 X513 -6.17679524389318 6.54158207959766e-10
X202 X513 -6.13767342865955 8.3738780759483e-10
X257 X513 -6.14290232322664 8.10271139732412e-10
X482 X513 5.8681161292298 4.40774500556223e-09
X500 X513 6.92609212058284 4.3262480500155e-12
X0 X554 -6.07756734803346 1.2201943921065e-09
X50 X554 6.01738336730705 1.77258942566415e-09
X87 X554 6.05831217118473 1.37557245487208e-09
X202 X554 5.93955556834324 2.85795793508225e-09
X257 X554 5.9970032871219 2.00991993763916e-09
X482 X554 -5.99800321919106 1.99758562070482e-09
X500 X554 -5.50361920341991 3.72072751374132e-08
X513 X554 6.12963386033763 8.80815398899682e-10
X0 X556 6.04620292711603 1.48299290503179e-09
X50 X556 -6.06478217238872 1.32132608572147e-09
X87 X556 -6.0790016156485 1.20933141088965e-09
X202 X556 -6.07310016607993 1.25464139473051e-09
X257 X556 -6.0734585069931 1.25184356714922e-09
X482 X556 6.0336403142772 1.60306668191005e-09
X500 X556 6.05037027494732 1.44513292382592e-09
X513 X556 -6.07297868674122 1.25559125488271e-09
X554 X556 6.04877579244617 1.45950605457082e-09
X0 X603 -6.03353955974308 1.60406698461565e-09
X50 X603 6.0075340672677 1.88366235789257e-09
X87 X603 6.05951020283326 1.36536667564204e-09
X202 X603 6.16965294154929 6.84400480243813e-10
X257 X603 5.90768147714593 3.46956029681198e-09
X482 X603 -6.18619463162653 6.1633903558301e-10
X500 X603 -6.17339503894674 6.68389284710717e-10
X513 X603 6.12135752774995 9.27814567606245e-10
X554 X603 -6.02188913518373 1.72392966988088e-09
X556 X603 6.04614690748681 1.48350836573738e-09
X464 X616 -4.59518864835724 4.3235793010916e-06
X0 X623 -6.14278345550872 8.10877956199623e-10
X50 X623 6.01540101745853 1.79441921836173e-09
X87 X623 6.00134090658371 1.95694628459969e-09
X202 X623 6.11355139583902 9.74379697788615e-10
X257 X623 5.98877622420989 2.11425820706967e-09
X482 X623 -6.2606602051863 3.83351015335348e-10
X500 X623 -6.15648915728347 7.43752642868268e-10
X513 X623 6.05596911095764 1.39574785686963e-09
X554 X623 -5.97493460762325 2.30182495547206e-09
X556 X623 6.04824668178042 1.46430632922387e-09
X603 X623 -5.76340973594862 8.24313478005232e-09
X0 X638 -6.08424664962672 1.17040311416918e-09
X50 X638 5.99272941642354 2.06348032165919e-09
X87 X638 6.06229872648353 1.34189681914853e-09
X202 X638 5.9502275545109 2.67769945879831e-09
X257 X638 5.98190597439318 2.20541576388786e-09
X482 X638 -5.99302292987802 2.0597579522741e-09
X500 X638 -6.10111383457981 1.05331855811088e-09
X513 X638 6.11447231715886 9.687698442961e-10
X554 X638 -6.14073827901949 8.21388213828781e-10
X556 X638 6.04219538567539 1.52031197618426e-09
X603 X638 -6.23112951021564 4.63084063506862e-10
X623 X638 -6.23651886366598 4.47415384837225e-10
X0 X639 -6.09681623663555 1.08201781804747e-09
X50 X639 6.05077440312212 1.44151196548923e-09
X87 X639 5.994759685203 2.03786573961532e-09
X202 X639 5.95057856228366 2.67196278553711e-09
X257 X639 5.99762705393249 2.00221700019441e-09
X482 X639 -6.04390344570998 1.50429556452061e-09
X500 X639 -6.18006442253828 6.40754488897798e-10
X513 X639 6.01454316948873 1.803946910629e-09
X554 X639 -6.19131247938977 5.96652914016289e-10
