SNP1 SNP2 Zscore ZP 
X31 X37 -3.55556670421197 0.000377165234849958
X0 X50 6.00774394869833 1.88122625691834e-09
X12 X68 -3.70926298398201 0.000207863438689349
X0 X87 6.16937252306543 6.85615255058981e-10
X50 X87 -6.13062651269335 8.75336779345267e-10
X52 X139 -3.91441403827479 9.06240155661307e-05
X30 X155 -4.22907884457444 2.34650106171048e-05
X103 X173 -3.66220567662673 0.000250052967096817
X59 X190 -3.54507075730764 0.000392507705192239
X13 X197 -4.00539059005098 6.19150871715192e-05
X57 X200 -3.98575688992027 6.72653570076156e-05
X0 X202 6.27471057831817 3.50285257685599e-10
X50 X202 -5.95142693270134 2.65814687672363e-09
X87 X202 -6.1793849931117 6.43517924131707e-10
X52 X240 -4.03410112870126 5.4811709907267e-05
X139 X240 -4.08557176090906 4.39684082774992e-05
X38 X246 -4.34793376725647 1.3742608867665e-05
X139 X250 -3.67647703208396 0.000236477135504295
X0 X257 6.00913317098384 1.86517873520961e-09
X50 X257 -6.10985887122486 9.97192815724763e-10
X87 X257 -6.03258024762061 1.6136216652239e-09
X202 X257 -5.7570752260627 8.55837785611603e-09
X24 X265 -4.1634905155748 3.13419050427703e-05
X139 X274 -4.25485460508911 2.09184898938584e-05
X52 X285 -3.7003728488863 0.000215282927650176
X292 X297 -3.51505574884979 0.000439661682169862
X138 X307 -3.58625438875328 0.000335461723633923
X178 X323 3.98431707055332 6.76744646435026e-05
X179 X323 4.00887184343086 6.10095132500459e-05
X24 X325 -4.76175218029555 1.91919275170034e-06
X149 X325 -3.65443248121715 0.000257751480072628
X146 X334 -3.62403624805813 0.00029004092938486
X157 X336 -3.88605193061199 0.000101887719895324
X83 X345 -3.54071392814112 0.000399045987744929
X145 X362 -3.71568022609803 0.000202657752122513
X265 X362 -3.5777788250564 0.000346526480667132
X142 X363 -4.03110994369339 5.55140662052464e-05
X66 X388 -3.80228856840789 0.000143365601703546
X298 X393 -3.60756486501801 0.000309084281916801
X57 X395 -3.85753845808017 0.00011453466247717
X237 X418 -3.5435489682244 0.000394779989234186
X124 X435 -3.63378715935578 0.000279291283579301
X60 X442 -3.77132975817055 0.000162379921651072
X58 X446 -3.72283441744232 0.000196998723999719
X58 X452 -4.20935608671661 2.56099502422166e-05
X187 X453 -3.87479883839118 0.000106712815121202
X194 X455 -4.42947928968388 9.4460883315276e-06
X456 X467 4.51481584847711 6.33718086273613e-06
X125 X475 -3.51028512134442 0.000447626433596924
X0 X482 -6.00391553768394 1.92614927374459e-09
X50 X482 6.11711027891056 9.52874281608648e-10
X87 X482 6.14456573852217 8.01825775364212e-10
X202 X482 6.00622570991537 1.89891795424172e-09
X257 X482 5.9650096634911 2.44619564209412e-09
X282 X486 -3.70613279593079 0.0002104479860536
X89 X488 -3.8045738343269 0.000142048537991394
X289 X497 -3.7323421626368 0.000189707568669024
X0 X500 -6.10570739952953 1.02346356269436e-09
X50 X500 6.4314847120108 1.26363493878997e-10
X87 X500 6.2176366673709 5.04698525009061e-10
X202 X500 5.95638666733201 2.5787579466711e-09
X257 X500 6.02543971859041 1.6865046903118e-09
X482 X500 -6.16378316969923 7.10271867491226e-10
X240 X502 -3.72258924114996 0.000197190178424384
X289 X502 -3.53137459860793 0.000413405831489186
X160 X509 -3.61195403636557 0.000303898439049078
X38 X511 -3.54183499491093 0.000397353951250462
X452 X511 -3.62498581535597 0.000288977312347605
X0 X513 5.96601914438101 2.43111772650561e-09
X50 X513 -5.94954313437679 2.68891975199046e-09
X87 X513 -6.17679524389318 6.54158207959766e-10
X202 X513 -6.13767342865955 8.3738780759483e-10
X257 X513 -6.14290232322664 8.10271139732412e-10
X482 X513 5.8681161292298 4.40774500556223e-09
X500 X513 6.92609212058284 4.3262480500155e-12
X187 X516 -3.88599678498497 0.000101910854943934
X468 X518 3.73522357289413 0.000187548491274379
X144 X539 -3.61474536611954 0.000300642964990247
X6 X544 -3.56045854693144 0.000370207752367028
X0 X554 -6.07756734803346 1.2201943921065e-09
X50 X554 6.01738336730705 1.77258942566415e-09
X87 X554 6.05831217118473 1.37557245487208e-09
X202 X554 5.93955556834324 2.85795793508225e-09
X257 X554 5.9970032871219 2.00991993763916e-09
X482 X554 -5.99800321919106 1.99758562070482e-09
X500 X554 -5.50361920341991 3.72072751374132e-08
X513 X554 6.12963386033763 8.80815398899682e-10
X60 X555 -3.89592553670338 9.78244426792568e-05
X195 X555 -3.55721043442199 0.000374813899062224
X0 X556 6.04620292711603 1.48299290503179e-09
X50 X556 -6.06478217238872 1.32132608572147e-09
X87 X556 -6.0790016156485 1.20933141088965e-09
X202 X556 -6.07310016607993 1.25464139473051e-09
X257 X556 -6.0734585069931 1.25184356714922e-09
X482 X556 6.0336403142772 1.60306668191005e-09
