SNP1 SNP2 Zscore ZP 
X107 X145 12.1853454840293 3.720732248812e-34
X162 X214 -4.52193189122916 6.12777783986121e-06
X107 X227 -11.6052059979174 3.87752738145621e-31
X145 X227 11.5449710404728 7.82678297683586e-31
X100 X235 -4.59675252429083 4.29126804183166e-06
X181 X270 -4.53128758411604 5.86252660051179e-06
X107 X284 11.6736020532902 1.7390096785941e-31
X145 X284 -11.5015345585726 1.29590689438547e-30
X227 X284 11.5451415448018 7.81127755594349e-31
X112 X296 -4.70990931418901 2.47827035745943e-06
X187 X353 -6.40820350550407 1.47244287085553e-10
X232 X426 -4.57795673078441 4.695397830291e-06
X306 X439 -4.51635324908687 6.29136811987131e-06
X270 X462 -4.72801432076197 2.26726197534753e-06
X95 X468 -4.71197405014591 2.45328625912736e-06
X107 X475 -11.589942503341 4.63443551297314e-31
X145 X475 11.5698723295559 5.85697589605039e-31
X227 X475 -11.5858401454798 4.86176244489371e-31
X284 X475 11.5699291412755 5.85309900952029e-31
X235 X500 -6.19880787052986 5.68924296237512e-10
X288 X578 -4.56407862511008 5.01692756024567e-06
X289 X578 -4.56407862511008 5.01692756024567e-06
X107 X652 11.574688295012 5.53721430180673e-31
X145 X652 -11.5947584687971 4.38099805803236e-31
X227 X652 11.5787906528732 5.27854426034054e-31
X284 X652 -11.5947016570775 4.38390601653166e-31
X475 X652 11.5811409603812 5.13579077033966e-31
X107 X657 -11.5931023002336 4.46656146799719e-31
X145 X657 11.5647173491238 6.21957649185882e-31
X227 X657 -11.5873003959466 4.77960306455836e-31
X284 X657 11.5647976971019 6.21375736671852e-31
X475 X657 -11.5839763906628 4.9686640883611e-31
X652 X657 11.5806544076902 5.16502505586230e-31
X71 X732 -4.79435194201687 1.63201543862064e-06
X476 X753 -5.3641617664418 8.1325996000387e-08
X264 X777 -5.88546997580913 3.9692444134541e-09
X413 X875 -4.64578736362445 3.38781820571077e-06
X353 X889 -6.36184075096101 1.9935007229178e-10
X107 X913 -11.6076244767967 3.76942480423669e-31
X145 X913 11.541025466842 8.19424585993034e-31
X227 X913 -11.5940115915789 4.41938099624303e-31
X284 X913 11.5412139856023 8.1763052526709e-31
X475 X913 -11.586212548342 4.84067737933118e-31
X652 X913 11.578418250011 5.30152204189864e-31
X657 X913 -11.5878270798284 4.75030924299797e-31
X908 X946 -4.70167699178529 2.58033460320453e-06
X107 X963 -11.660506294745 2.02832689715118e-31
X145 X963 11.8907026653712 1.32288913691977e-32
X227 X963 -11.618450092523 3.3210642273111e-31
X284 X963 12.0027159198593 3.43825563133396e-33
X475 X963 -11.5943554105902 4.40167042389717e-31
X652 X963 11.5702753877628 5.82952582960196e-31
X657 X963 -11.5993434099451 4.15251878948847e-31
X913 X963 -11.6222678604049 3.1759207888096e-31
X107 X970 11.5547987379095 6.98108399617568e-31
X145 X970 -11.3203708585277 1.04030890237293e-29
X227 X970 11.5695990066915 5.87566337452873e-31
X284 X970 -11.6270018824964 3.00466145005364e-31
X475 X970 11.5780783212749 5.32258279373379e-31
X652 X970 -11.5865524770781 4.82151022651318e-31
X657 X970 11.576322962321 5.4326674450808e-31
X913 X970 11.5682554714264 5.96838689687716e-31
X963 X970 11.5388780855413 8.40138226259698e-31
X60 X990 -4.67544967332722 2.93310203175458e-06
