SNP1 SNP2 Zscore ZP 
X18 X26 -3.57108014532742 0.000355512080917703
X15 X60 -3.56837961055191 0.000359195832233828
X8 X66 -3.70926512879759 0.000207861678013785
X26 X100 -3.63669931177895 0.000276153978978671
X59 X100 -3.63084866934613 0.00028249079285016
X55 X110 -3.53882078355718 0.000401918619015857
X85 X129 -4.0615084825479 4.87566463524742e-05
X4 X131 -3.58027791263829 0.000343228960686321
X18 X137 -3.65574754445679 0.000256433621571634
X107 X145 12.1853454840293 3.720732248812e-34
X60 X146 -4.08392965832508 4.42804398173152e-05
X18 X159 -3.95798507638008 7.55846789447459e-05
X32 X161 -3.60545604385255 0.000311605233453582
X161 X180 -3.54367668791649 0.000394588811038735
X42 X186 -3.53892786121576 0.000401755626782859
X16 X196 3.91418779761584 9.07090186395818e-05
X104 X207 -3.62394372443512 0.000290144761593342
X190 X207 3.88120126214371 0.000103941776124074
X162 X214 -4.52193189122916 6.12777783986121e-06
X73 X218 -3.63327135519747 0.000279850436940738
X196 X221 -4.24924527383043 2.14491961938002e-05
X9 X223 -4.20124459945978 2.65451598603487e-05
X107 X227 -11.6052059979174 3.87752738145621e-31
X145 X227 11.5449710404728 7.82678297683586e-31
X14 X233 -3.73339849870139 0.000188913344514788
X100 X235 -4.59675252429083 4.29126804183166e-06
X217 X242 -3.89441332564126 9.84366805999649e-05
X223 X242 -3.60824921987115 0.000308270295139624
X201 X266 -4.25757167150218 2.0665941698198e-05
X130 X269 -3.65908575802287 0.000253116633392849
X67 X270 -3.68989055540793 0.000224350551121161
X181 X270 -4.53128758411604 5.86252660051179e-06
X24 X271 3.50307115287354 0.00045992658849057
X179 X282 -4.09150486464614 4.28582954217295e-05
X107 X284 11.6736020532902 1.7390096785941e-31
X145 X284 -11.5015345585726 1.29590689438547e-30
X227 X284 11.5451415448018 7.81127755594349e-31
X282 X284 4.29383209775333 1.75615304008522e-05
X51 X293 -3.64870697703148 0.000263563514346083
X163 X293 -3.69124849867541 0.000223155983339732
X42 X296 -4.13848156759092 3.49611954087362e-05
X112 X296 -4.70990931418901 2.47827035745943e-06
X10 X305 -3.75420132442587 0.0001738950581397
X194 X310 -3.70037795404723 0.000215278596527246
X34 X311 -3.70811129995171 0.000208810880003153
X226 X319 -3.73996351050339 0.000184046970787393
X230 X322 -4.08059869028872 4.4919851825099e-05
X64 X324 3.52645313689744 0.00042116569328246
X1 X328 3.61044419208733 0.000305673069256266
X207 X341 3.52834600969605 0.000418165167800275
X69 X344 3.57123959232692 0.000355295690533673
X334 X347 -3.78726053501938 0.000152317364021421
X237 X348 -3.66745163605429 0.000244979868531591
X51 X351 -3.65710009890933 0.000255084785193153
X97 X353 -3.76805913552303 0.000164521733398825
X187 X353 -6.40820350550407 1.47244287085553e-10
X146 X371 -4.00927801401112 6.09046773409037e-05
X321 X372 -3.61582809411537 0.000299389014169093
X133 X375 -4.03400638150197 5.48338276774722e-05
X368 X378 -4.07588314920123 4.58400350954196e-05
X39 X382 -3.72922789005668 0.000192067390908368
X2 X391 -3.8478222892701 0.000119172446783658
X310 X393 -4.01246211091465 6.0088725812525e-05
X220 X394 -3.54596573696306 0.000391177064965659
X314 X394 -4.35792295022687 1.31302588876696e-05
X170 X396 -3.50621586286963 0.000454526436003794
X171 X396 -3.77802623357828 0.000158076230667011
X208 X405 3.7745833467874 0.000160275316721534
X209 X413 -3.7800956140184 0.000156768144900747
X259 X421 -3.61883582658947 0.000295931293209173
X232 X426 -4.57795673078441 4.695397830291e-06
X422 X427 -3.50319240532443 0.000459717266739808
X311 X429 -3.82027209614301 0.000133304531821107
X138 X436 -3.56858917477419 0.000358908696868684
X198 X436 3.54837029845149 0.000387622851478739
X306 X439 -4.51635324908687 6.29136811987131e-06
X327 X440 -3.50832052193625 0.000450945391868466
X428 X440 -3.63970426699647 0.000272951340273874
X370 X445 -3.52652539993241 0.000421050775909487
X186 X451 -3.76320501819316 0.000167749568533748
X17 X452 -3.74638486493615 0.000179401285716062
X19 X453 -3.71623784637296 0.000202211240007766
X223 X453 -3.73050518665431 0.000191096209091861
X380 X456 -4.15538403099253 3.2474162796747e-05
X205 X458 -3.59371454733077 0.000325996977866879
X155 X461 -3.81877913712249 0.000134113769420991
X270 X462 -4.72801432076197 2.26726197534753e-06
X6 X465 -3.70661745671178 0.00021004584416298
X95 X468 -4.71197405014591 2.45328625912736e-06
X395 X470 3.71284619126745 0.000204941445530888
X110 X474 -3.76983247639596 0.000163357160186216
X107 X475 -11.589942503341 4.63443551297314e-31
