SNP1	SNP2	Zscore	ZP	glm_score
1	X107	X145	12.1853454840293	3.720732248812e-34	0.994979567516749
2	X284	X963	12.0027159198593	3.43825563133396e-33	0.996264557469457
3	X145	X963	11.8907026653712	1.32288913691977e-32	0.996626860920601
4	X107	X284	11.6736020532902	1.7390096785941e-31	0.997360588878172
44	X145	X284	-11.5015345585726	1.29590689438547e-30	0.997568531916935
45	X145	X970	-11.3203708585277	1.04030890237293e-29	0.997433234206367
46	X187	X353	-6.40820350550407	1.47244287085553e-10	0.0112378792600382
47	X353	X889	-6.36184075096101	1.9935007229178e-10	0.961320130367294
48	X235	X500	-6.19880787052986	5.68924296237512e-10	0.000103799071968848
49	X264	X777	-5.88546997580913	3.9692444134541e-09	0.0061234504218527
50	X476	X753	-5.3641617664418	8.1325996000387e-08	0.967335526990695
51	X71	X732	-4.79435194201687	1.63201543862064e-06	9.38205349947629e-05
52	X270	X462	-4.72801432076197	2.26726197534753e-06	0.00147325114606313
53	X95	X468	-4.71197405014591	2.45328625912736e-06	2.28611474794589e-06
54	X112	X296	-4.70990931418901	2.47827035745943e-06	0.000380246061955742
55	X908	X946	-4.70167699178529	2.58033460320453e-06	0.000480119393628708
56	X60	X990	-4.67544967332722	2.93310203175458e-06	0.000631930709309018
57	X413	X875	-4.64578736362445	3.38781820571077e-06	0.969169794603096
58	X100	X235	-4.59675252429083	4.29126804183166e-06	0.000139381270003082
59	X232	X426	-4.57795673078441	4.695397830291e-06	0.000922961621358924
60	X288	X578	-4.56407862511008	5.01692756024567e-06	1.39804813107123e-05
61	X289	X578	-4.56407862511008	5.01692756024567e-06	1.39804813107123e-05
62	X181	X270	-4.53128758411604	5.86252660051179e-06	0.00129070960112403
63	X162	X214	-4.52193189122916	6.12777783986121e-06	6.25435979616473e-06
64	X306	X439	-4.51635324908687	6.29136811987131e-06	2.18543594276427e-05
65	X765	X815	-4.49658538928055	6.90534549000145e-06	0.00614760602881638
66	X556	X774	-4.49042222359789	7.10821275643581e-06	7.37739712506949e-07
67	X777	X795	-4.43190790660902	9.34029126077296e-06	0.0123946321071098
68	X296	X777	-4.39945814693394	1.08521503709956e-05	0.964686127370312
69	X314	X394	-4.35792295022687	1.31302588876696e-05	1.15522472738918e-05
70	X685	X808	-4.34048951188474	1.42165654559604e-05	0.00374237365048323
71	X270	X707	-4.32688397626021	1.51233570839457e-05	0.00441188501136722
72	X590	X879	-4.32184537875323	1.54729609728254e-05	0.00443201926493177
